iso3,sex,diabetes,alcohol,undernutrition,smoking,diabetes.sd,alcohol.sd,undernutrition.sd,smoking.sd,inc.15plus,inc.15plus.sd,pop,adults,inc,inc.lo,inc.hi,inc.sd,hiv,hiv.sd,irr,irr.sd,sex,paf.hiv,paf.hiv.sd,sex,paf.dia,paf.dia.sd,sex,paf.alc,paf.alc.sd,sex,paf.smk,paf.smk.sd,sex,paf.und,paf.und.sd,inc.at.hiv,inc.at.hiv.sd,inc.at.dia,inc.at.dia.sd,inc.at.alc,inc.at.alc.sd,inc.at.smk,inc.at.smk.sd,inc.at.und,inc.at.und.sd,inc.at.hiv.num,inc.at.dia.num,inc.at.alc.num,inc.at.smk.num,inc.at.und.num,inc.at.hiv.lo.num,inc.at.hiv.hi.num,inc.at.dia.lo.num,inc.at.dia.hi.num,inc.at.alc.lo.num,inc.at.alc.hi.num,inc.at.smk.lo.num,inc.at.smk.hi.num,inc.at.und.lo.num,inc.at.und.hi.num
ARM,m,0.11,0.0989999961853027,,0.517999992370605,0.0321428581159942,,,0.0497448979591837,44,7.65049199402718,1174216,1066333,36.5539262855665,17.5943623655521,29.3632400482545,5.88782571751752,,,,,m,,,m,0.0517582339163756,0.0191081907309049,m,0.184251214030472,0.0510576084905003,m,0.220782948767063,0.0751244474958682,m,,,,,2.27736229232053,0.940768648448216,8.10705341734079,2.68076601674432,9.71444974575078,3.75626770932939,,,,24,86,103,,,,7,50,36,158,36,206,,
ATG,a,0.115,0.065,,,0.0267857142857143,,,,3.00531810638826,0.229876558640596,97928,76531,2.34866432481006,2.00957518057246,2.71379988652529,0.179744718735464,,,,,a,,,a,0.054054176803782,0.0175760269036131,a,0.129854408331702,0.0382184583112573,a,,,a,,,,,0.162449996274318,0.0544136077954065,0.390253804553598,0.11899891009617,,,,,,0,0,,,,,0,0,0,0,,,,
ATG,f,0.13,0.0370000004768372,,,0.0420918367346939,,,,0,0,43730,40105,0,2.00957518057246,2.71379988652529,0,,,,,f,,,f,0.0604564117490271,0.0236123360192681,f,0.0787210304125041,0.0244170254170112,f,,,f,,,,,0,0,0,0,,,,,,0,0,,,,,,,,,,,,
ATG,m,0.0989999961853027,0.0980000019073486,,,0.0354591827003323,,,,6,0.482970485623551,40156,36426,4.86576826249762,2.00957518057246,2.71379988652529,0.372182252836393,,,,,m,,,m,0.0467662637636999,0.0198281681290419,m,0.182756091622191,0.0507305712594521,m,,,m,,,,,0.280597582582199,0.121472190316299,1.09653654973314,0.317868587925239,,,,,,0,0,,,,,0,0,0,0,,,,
AUS,a,0.0590000009536743,0.0440000009536743,0.025,0.141000003814697,0.0107142852277172,,,0.0145408182728047,9.00204092907535,0.688565434836758,25499881,20580333,7.26532802251116,6.21639206775405,8.39483169614379,0.556020001722793,0.00115863285793373,9.50206126154584e-05,11.6478488269507,3.06144861353686,a,0.0121734878751862,0.00360989532117961,a,0.0285805514278898,0.00856615719226139,a,0.0921124495930293,0.02819108819334,a,0.073468297273924,0.029358798893235,a,0.0521313159091489,0.00114598689956952,0.0884443825912904,0.0271606972638278,0.257283293729407,0.079802728610301,0.829200041313839,0.262302351229509,0.661364619049339,0.269845356258654,0.378751110325121,0.0301648661411902,22,52,170,136,96,11,38,20,99,65,324,36,300,82,112
AUS,f,0.05,0.0270000004768372,,0.121000003814697,0.0150510206514475,,,0.0135204086498338,8.4060113535196,0.907897343477607,11218287,10406079,6.83320591507754,6.21639206775405,8.39483169614379,0.73802535314645,,,,,f,,,f,0.0243028462735756,0.009383932238852,f,0.0588190667005917,0.0186017643411184,f,0.0638112285519206,0.0258808396298089,f,,,,,0.204290001698518,0.0823511251437165,0.4944337424886,0.166094812722108,0.536397911689479,0.226359199523517,,,,21,51,55,,,,7,42,21,93,17,115,,
AUS,m,0.0680000019073486,0.0609999990463257,,0.161000003814697,0.0191326530612245,,,0.0178571428571429,9,1.03811335997115,11031753,10174254,7.70094256507127,6.21639206775405,8.39483169614379,0.831745878403367,,,,,m,,,m,0.0327365175574887,0.0120384008442653,m,0.122930964118733,0.0364469504052348,m,0.0828794157726943,0.0329971791730885,m,,,,,0.294628658017398,0.114236063768958,1.10637867706859,0.354000392026904,0.745914741954249,0.311078590548609,,,,29,112,75,,,,10,59,49,201,24,156,,
AUT,a,0.0430000019073486,0.12,0.025,0.291000003814697,0.0112244900392026,,,0.0313775490741341,5.51996658182394,0.435686431588921,9006400,7708380,4.87764256528691,4.17343072354167,5.63594554409961,0.373288971833182,0.000921899982234855,6.03640911950541e-05,24.0907221186331,6.77227978310828,a,0.0208052144576486,0.00614487531522361,a,0.0209919205568351,0.00748232822295259,a,0.214345074055155,0.0573253261855855,a,0.139126253235517,0.0522508162831801,a,0.0521313159091489,0.00114598689956952,0.101480399618549,0.0310472054468086,0.115874699962033,0.0424281337123633,1.18317764576303,0.330870630417932,0.767972268514431,0.295601355751082,0.254277925462883,0.0202514510852872,9,8,91,59,22,4,15,3,17,42,158,19,121,19,26
AUT,f,0.0320000004768372,0.0609999990463257,,0.277000007629395,0.0119897954317988,,,0.0301020388700524,3.62127092896519,0.383885614658149,4155646,3937844,3.32405677699192,4.17343072354167,5.63594554409961,0.343555912734655,,,,,f,,,f,0.0156991246270936,0.00707369064755976,f,0.122930964118733,0.0364469504052348,f,0.133448004437797,0.0504439282322901,f,,,,,0.0568507836222955,0.0264548911839959,0.445166326632829,0.140863915105645,0.483251378999012,0.190704274689163,,,,2,17,19,,,,0,4,8,30,6,37,,
AUT,m,0.0540000009536743,0.181000003814697,,0.303999996185303,0.0181122458710962,,,0.0352040796863789,7,0.79537269141769,4000900,3770536,6.47567589726402,4.17343072354167,5.63594554409961,0.669289633936887,,,,,m,,,m,0.0261740892002309,0.0108170521273734,m,0.289730234600129,0.0703522598277171,m,0.144287519042318,0.0541903729563441,m,,,,,0.183218624401616,0.0789989845092373,2.0281116422009,0.546587505071157,1.01001263329623,0.398649432516553,,,,6,76,38,,,,2,14,39,124,13,75,,
AZE,a,0.123000001907349,0.06,0.025,0.196000003814697,0.0237244878496443,,,0.0359693887282391,74.6372320931674,9.57271325228689,10139175,7754916,58.2277724432331,44.3326159145907,73.9869312078432,7.57623291364766,0.000980060014744789,0.00013302741335293,20.0465920852297,5.06641541776641,a,0.0182953413817167,0.00540847387865811,a,0.0576295841781475,0.0171694480172204,a,0.121181313000082,0.0359944087460579,a,0.0986469654974606,0.0411725044290263,a,0.0521313159091489,0.00114598689956952,1.06529697474587,0.346508914463198,4.30131264973713,1.40482960955012,9.04463778374187,2.9464910128585,7.36273645912065,3.23889162374776,3.03549039992422,0.400650281266968,108,333,701,570,307,50,186,115,665,243,1396,118,1371,233,392
