iso3,scenario,hiv,measure,date,best,lo,hi
AGO,Disruption,pos,inc,2023-07-01,31.6337223501849,23.965571729153,38.4439474274771
AGO,Disruption,pos,inc,2023-08-01,31.672261644526,23.9329480234262,38.4952074533347
AGO,Disruption,pos,inc,2023-09-01,31.7096857718758,23.9002557227609,38.5446448039482
AGO,Disruption,pos,inc,2023-10-01,31.7460519921422,23.8675337476239,38.5923287077417
AGO,Disruption,pos,inc,2023-11-01,31.7814120899294,23.8348113894295,38.6383220202817
AGO,Disruption,pos,inc,2023-12-01,31.8158083201948,23.8021138611288,38.6826774014421
AGO,Disruption,pos,inc,2024-01-01,31.8492788740793,23.7694641866032,38.7254398436392
AGO,Disruption,pos,inc,2024-02-01,31.8818567302002,23.7368795060385,38.7666498843
AGO,Disruption,pos,inc,2024-03-01,31.9135698201828,23.7043726300753,38.8063426224708
AGO,Disruption,pos,inc,2024-04-01,31.9444429632392,23.6719574578882,38.8445487262978
AGO,Disruption,pos,inc,2024-05-01,31.9744955988495,23.6396432322068,38.8812916747677
AGO,Disruption,pos,inc,2024-06-01,32.0037456418986,23.6074348917715,38.9165945045355
AGO,Disruption,pos,inc,2024-07-01,32.0322079951679,23.5738130943084,38.9504760478472
AGO,Disruption,pos,inc,2024-08-01,32.0598954809036,23.5398862577317,38.9829521928221
AGO,Disruption,pos,inc,2024-09-01,32.0868186040515,23.5060718100891,39.014036326484
AGO,Disruption,pos,inc,2024-10-01,32.1129848077088,23.4723696966164,39.043739759928
AGO,Disruption,pos,inc,2024-11-01,32.138401264481,23.438779448121,39.0720719319382
AGO,Disruption,pos,inc,2024-12-01,32.1630736622284,23.405307718197,39.0990406736033
BGD,Baseline,a,inc,2020-01-01,19.8568089558648,17.3863616464054,24.0051447293688
BGD,Baseline,a,inc,2020-02-01,19.8408723726118,17.3717224399184,23.9786476221404
BGD,Baseline,a,inc,2020-03-01,19.8252057764137,17.3573139590033,23.9525449256028
BGD,Baseline,a,inc,2020-04-01,19.8098045324002,17.3431320118311,23.9268311564267
BGD,Baseline,a,inc,2020-05-01,19.7946642735758,17.3291730563108,23.9015004670051
BGD,Baseline,a,inc,2020-06-01,19.779780512863,17.3154324670399,23.8765481463332
BGD,Baseline,a,inc,2020-07-01,19.765149129114,17.301906305569,23.8519680355864
BGD,Baseline,a,inc,2020-08-01,19.7507654405626,17.2885904328268,23.8277556328725
BGD,Baseline,a,inc,2020-09-01,19.736625032607,17.275481262935,23.8039051829908
BGD,Baseline,a,inc,2020-10-01,19.7227246893306,17.2625748393074,23.780411815526
BGD,Baseline,a,inc,2020-11-01,19.7090595619898,17.2498675254928,23.7572706026334
BGD,Baseline,a,inc,2020-12-01,19.6956250547942,17.2373557399119,23.7344760685687
BGD,Baseline,a,inc,2021-01-01,19.6824186446065,17.2250357597292,23.7120241599342
BGD,Baseline,a,inc,2021-02-01,19.6694360866445,17.2129043097335,23.6899090568166
BGD,Baseline,a,inc,2021-03-01,19.6566723012381,17.2009573734933,23.6681269506889
BGD,Baseline,a,inc,2021-04-01,19.6441246991697,17.1891920352429,23.6466725612416
BGD,Baseline,a,inc,2021-05-01,19.6317901796306,17.1776050069283,23.6255408991504
BGD,Baseline,a,inc,2021-06-01,19.6196637773483,17.1661923418753,23.604728819997
BGD,Baseline,a,inc,2021-07-01,19.6077434466702,17.1549515231106,23.5842302292966
BGD,Baseline,a,inc,2021-08-01,19.5960245982008,17.1438793909218,23.5640412780569
BGD,Baseline,a,inc,2021-09-01,19.5845041702114,17.1329721601943,23.5441584245244
BGD,Baseline,a,inc,2021-10-01,19.5731791556852,17.1222276532923,23.5245760147329
BGD,Baseline,a,inc,2021-11-01,19.5620454967127,17.1116426875528,23.5052906079325
BGD,Baseline,a,inc,2021-12-01,19.5511007881066,17.10121374769,23.486298320865
BGD,Baseline,a,inc,2022-01-01,19.5403412597273,17.0909389661134,23.4675941002749
BGD,Baseline,a,inc,2022-02-01,19.5297637525016,17.0808150454604,23.4491747404952
BGD,Baseline,a,inc,2022-03-01,19.5193659585868,17.0708387457985,23.4310360647427
BGD,Baseline,a,inc,2022-04-01,19.5091438342843,17.0610085932843,23.4131735853005
BGD,Baseline,a,inc,2022-05-01,19.4990952138596,17.0513209406842,23.3955844390899
BGD,Baseline,a,inc,2022-06-01,19.4892169666616,17.0417730968886,23.3782639792146
BGD,Baseline,a,inc,2022-07-01,19.479505829878,17.0323635526515,23.3612084294244
BGD,Baseline,a,inc,2022-08-01,19.4699597003023,17.0230888945966,23.3444148321738
BGD,Baseline,a,inc,2022-09-01,19.4605753819133,17.0139468994357,23.327878865782
BGD,Baseline,a,inc,2022-10-01,19.4513503139149,17.0049353974377,23.3115971436071
BGD,Baseline,a,inc,2022-11-01,19.4422818147189,16.9960518601719,23.2955661241974
BGD,Baseline,a,inc,2022-12-01,19.4333671529989,16.987294068791,23.2797823328212
BGD,Baseline,a,inc,2023-01-01,19.4246039875168,16.9786596585553,23.2642423436857
BGD,Baseline,a,inc,2023-02-01,19.4159897553448,16.9701465344119,23.2489427871307
BGD,Baseline,a,inc,2023-03-01,19.4075218757916,16.9617525190446,23.2338802148924
BGD,Baseline,a,inc,2023-04-01,19.3991978022723,16.9534753498723,23.2190513763264
BGD,Baseline,a,inc,2023-05-01,19.3910154088428,16.9453130308206,23.204453120389
BGD,Baseline,a,inc,2023-06-01,19.3829722611838,16.9372635116183,23.1900822166509
BGD,Baseline,a,inc,2023-07-01,19.3750659406078,16.9293247246394,23.1759353494709
BGD,Baseline,a,inc,2023-08-01,19.3672941726675,16.9214947045937,23.1620095864571
BGD,Baseline,a,inc,2023-09-01,19.3596548477615,16.9137715328915,23.1483018082024
BGD,Baseline,a,inc,2023-10-01,19.3521457298118,16.9061532927905,23.1348090273365
