iso3,year,hiv,tb,ill_def,tb_seq,total,prop.tb,tb.imp,garbage,garbage.imp,totaltb,seq.prop,tb.prop,codqual,min.coverage,max.coverage,min.usability,max.usability,use.ghe,keep.vr,vr.coverage,tb.adj,tb.adj.sd,pop
AZE,2000,,1184,1278,,46701,0.0253527761718165,1184,0.0273655810368086,0.0273655810368086,1184,,0.0260660898663673,very low,80,83,44,44,no,FALSE,80,1184,74.1012803657967,8122743
AZE,2001,0,1107,1082,,45284,0.0244457203427259,1107,0.023893648970939,0.023893648970939,1107,,0.0250441156508755,very low,80,83,44,44,no,FALSE,80,1107,69.2701768464243,8197295
AZE,2002,0,1019,1233,,46526,0.0219017323646993,1019,0.0265013110948717,0.0265013110948717,1019,,0.0224979577418144,very low,80,83,44,44,no,FALSE,80,1019,63.7719124829324,8277065
AZE,2003,0,970,1246,,49379,0.0196439782093603,970,0.0252333988132607,0.0252333988132607,970,,0.0201524941308458,very low,80,83,44,44,no,FALSE,80,970,60.701508045733,8361433
AZE,2004,0,813,1613,,49568,0.0164017107811491,813,0.0325411555842479,0.0325411555842479,813,,0.0169533938066938,very low,80,83,44,44,no,FALSE,80,813,50.8952017855229,8448938
AZE,2007,,289,4197,2,50439,0.00572969329288844,289,0.0832094212811515,0.0832094212811515,291,0.00687285223367698,0.00629298040742182,very low,80,83,44,44,no,FALSE,80,291,18.2632315832897,8724237
AZE,2010,,709,1343,,53580,0.0132325494587533,709,0.0250653228816723,0.0250653228816723,709,,0.0135727549438138,very low,80,83,44,44,no,FALSE,80,709,44.368049279616,9032465
AZE,2011,0,577,1771,,53726,0.010739679112534,577,0.0329635558202732,0.0329635558202732,577,,0.0111057646039842,very low,80,83,44,44,no,FALSE,80,577,36.1219570107334,9146277
AZE,2012,0,373,1836,,55017,0.00677972263118672,373,0.0333715033535089,0.0333715033535089,373,,0.00701378311803088,very low,80,83,44,44,no,FALSE,80,373,23.351411643997,9264684
AZE,2013,0,378,1892,,54383,0.00695070150598533,378,0.034790283728371,0.034790283728371,378,,0.0072012344973424,very low,80,83,44,44,no,FALSE,80,378,23.6661103250528,9385467
AZE,2014,0,372,2440,,55648,0.00668487636572743,372,0.0438470385278896,0.0438470385278896,372,,0.0069914298601714,very low,80,83,44,44,no,FALSE,80,372,23.3009945418851,9505616
AZE,2015,,485,1864,2,54697,0.00886703109859773,485,0.0340786514799715,0.0340786514799715,487,0.00410677618069815,0.00921772377112789,very low,80,83,44,44,no,FALSE,80,487,30.4893811281099,9622741
BEL,2000,54,67,2772,35,104825,0.000639160505604579,67,0.0264440734557596,0.0264440734557596,102,0.343137254901961,0.000999480662008956,high,100,100,81,85,yes,TRUE,100,102,0.00674502238989183,10282046
BEL,2001,70,64,2722,36,102991,0.000621413521569846,64,0.0264294938392675,0.0264294938392675,100,0.36,0.000997317216687112,high,100,100,81,85,yes,TRUE,100,100,0.00660912021683835,10319026
BEL,2002,59,58,2773,23,105288,0.000550869994681255,58,0.0263372844008814,0.0263372844008814,81,0.283950617283951,0.000790128273911135,high,100,100,81,85,yes,TRUE,100,81,0.00533470510763195,10364879
