iso3,year,pop,c.newinc
AZE,2006,8630153,5705
AZE,2007,8724237,5521
AZE,2008,8821869,7632
AZE,2009,8924383,9462
AZE,2010,9032465,7550
AZE,2011,9146277,9146
AZE,2012,9264684,6363
AZE,2013,9385467,5860
AZE,2014,9505616,5788
AZE,2015,9622741,5456
AZE,2016,9736041,5159
AZE,2017,9845316,5231
AZE,2018,9949537,5038
AZE,2019,10047719,4823
AZE,2020,10139175,3683
BDI,1980,4157296,789
BDI,1981,4266520,643
BDI,1982,4379727,951
BDI,1983,4497544,1053
BDI,1984,4621096,1904
BDI,1985,4750832,2317
BDI,1986,4886745,2569
BDI,1987,5027143,2739
BDI,1988,5168703,3745
BDI,1989,5307069,4608
BDI,1990,5438959,4575
BDI,1991,5564923,4883
BDI,1992,5685569,4464
BDI,1993,5798054,4677
BDI,1994,5898964,3840
BDI,1995,5987044,3326
BDI,1996,6060110,3796
BDI,1997,6122130,5335
BDI,1998,6185564,6480
BDI,1999,6267132,6365
BDI,2000,6378871,6421
BDI,2001,6525546,6478
BDI,2002,6704118,6371
BDI,2003,6909161,6822
BDI,2004,7131688,6871
BDI,2005,7364857,6585
BDI,2006,7607850,6114
BDI,2007,7862226,6284
BDI,2008,8126104,6808
BDI,2009,8397661,7277
BDI,2010,8675606,7611
BDI,2011,8958406,6742
BDI,2012,9245992,6921
BDI,2013,9540302,7467
BDI,2014,9844301,7226
BDI,2015,10160034,6892
BDI,2016,10488002,7567
BDI,2017,10827010,7760
BDI,2018,11175379,7202
BDI,2019,11530577,6753
BDI,2020,11890781,7105
BEL,1980,9868999,2687
BEL,1981,9880594,2837
BEL,1982,9889819,2652
BEL,1983,9897877,2190
BEL,1984,9906370,2149
BEL,1985,9916577,1956
BEL,1986,9928539,1893
BEL,1987,9942281,1772
BEL,1988,9959011,1588
BEL,1989,9980175,1648
BEL,1990,10006545,1577
BEL,1991,10039450,1462
BEL,1992,10078098,1335
BEL,1993,10118684,1503
BEL,1994,10155909,1521
BEL,1995,10186304,1380
BEL,1996,10208265,1348
BEL,1997,10223785,1263
BEL,1998,10237298,1203
BEL,1999,10255161,1124
BEL,2000,10282046,1278
BEL,2001,10319026,1321
BEL,2002,10364879,1211
BEL,2003,10419029,1064
BEL,2004,10480118,1128
BEL,2005,10546885,1076
BEL,2006,10619484,1043
BEL,2007,10697576,955
BEL,2008,10778764,939
BEL,2009,10859934,918
BEL,2010,10938735,1001
BEL,2011,11013860,963
BEL,2012,11085355,909
BEL,2013,11154008,906
BEL,2014,11221225,886
BEL,2015,11287931,928
BEL,2016,11354407,986
BEL,2017,11419752,916
BEL,2018,11482180,913
BEL,2019,11539326,895
BEL,2020,11589616,778
BEN,1980,3717161,1835
BEN,1981,3820126,1862
BEN,1982,3927717,1793
BEN,1983,4039940,1804
BEN,1984,4156819,1933
BEN,1985,4278502,2041
BEN,1986,4404504,2162
BEN,1987,4535262,1901
BEN,1988,4672844,2027
BEN,1989,4820020,1941
BEN,1990,4978489,2074
BEN,1991,5149496,2162
BEN,1992,5331805,2420
BEN,1993,5521761,2335
BEN,1994,5714215,2117
BEN,1995,5905552,2400
BEN,1996,6094272,2372
BEN,1997,6281644,2308
BEN,1998,6470275,2384
BEN,1999,6664102,2636
BEN,2000,6865946,2697
BEN,2001,7076728,2659
BEN,2002,7295400,2841
BEN,2003,7520556,2940
BEN,2004,7750003,3116
BEN,2005,7982223,3270
BEN,2006,8216893,3608
BEN,2007,8454790,3565
BEN,2008,8696915,3872
BEN,2009,8944713,3878
BEN,2010,9199254,3756
BEN,2011,9460829,4212
BEN,2012,9729254,3966
BEN,2013,10004594,3866
BEN,2014,10286839,3886
BEN,2015,10575962,3985
BEN,2016,10872072,3891
BEN,2017,11175192,3563
BEN,2018,11485035,4003
BEN,2019,11801151,4266
BEN,2020,12123198,3908
BFA,1980,6822837,2577
BFA,1981,6985166,2391
BFA,1982,7158259,2265
BFA,1983,7340910,3061
BFA,1984,7531239,877
BFA,1985,7727908,4547
BFA,1986,7930689,1018
BFA,1987,8140080,1407
BFA,1988,8356313,949
BFA,1989,8579818,1616
BFA,1990,8811033,1497
BFA,1991,9050086,1488
BFA,1992,9297110,
BFA,1993,9552473,1443
BFA,1994,9816584,861
BFA,1995,10089880,2572
BFA,1996,10372734,2078
BFA,1997,10665552,1879
BFA,1998,10968722,2027
BFA,1999,11282696,2149
BFA,2000,11607951,2331
BFA,2001,11944589,2406
BFA,2002,12293097,2376
