country,iso3,g.whoregion,row.rank.new,year.new,source.new,all.areas.covered.new,area.desc.new,surv.quality.new,dst.rlt.new,mdr.new,mdr.new.pcnt,mdr.new.pcnt.lo,mdr.new.pcnt.hi,dr.r.nh.new,dr.r.nh.new.pcnt,dr.r.nh.new.pcnt.lo,dr.r.nh.new.pcnt.hi,xpert.new,xpert.dr.r.new,xpert.dr.r.new.pcnt,xpert.dr.r.new.pcnt.lo,xpert.dr.r.new.pcnt.hi,r.rlt.new,rr.new,rr.new.pcnt,rr.new.pcnt.lo,rr.new.pcnt.hi,dst.rlt.hr.new,dst.rlt.hr.new.pcnt,dst.rlt.hr.new.pcnt.lo,dst.rlt.hr.new.pcnt.hi,dst.rlt.rr.new,dst.rlt.rr.new.pcnt,dst.rlt.rr.new.pcnt.lo,dst.rlt.rr.new.pcnt.hi
Russian Federation,RUS,EUR,1019,2011,Surveillance,0,Khabarovsk Krai,A,636,168,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1020,2011,Surveillance,0,Khakassia Republic,A,249,67,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1021,2011,Surveillance,0,Komi Republic,A,236,56,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1022,2011,Surveillance,0,Kostroma Oblast,A,102,17,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1023,2011,Surveillance,0,Leningrad Oblast,A,335,121,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1024,2011,Surveillance,0,Mary El Republic,A,330,60,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1025,2011,Surveillance,0,Murmansk Oblast,A,164,54,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1026,2011,Surveillance,0,Nizhni Novgorod Oblast,A,598,178,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1027,2011,Surveillance,0,Novgorod Oblast,A,147,34,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1028,2011,Surveillance,0,Omsk Oblast,A,757,205,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1029,2011,Surveillance,0,Orel Oblast,A,196,15,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1030,2011,Surveillance,0,Penza Oblast,A,375,81,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1031,2011,Surveillance,0,Primorsky Krai,A,825,168,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1032,2011,Surveillance,0,Pskov Oblast,A,279,54,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1033,2011,Surveillance,0,Sakha (Yakutia) Republic,A,303,95,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1034,2011,Surveillance,0,Sakhalin Oblast,A,242,35,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1035,2011,Surveillance,0,Samara Oblast,A,960,304,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1036,2011,Surveillance,0,Tambov Oblast,A,309,53,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1037,2011,Surveillance,0,Tomsk Oblast,A,351,74,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1038,2011,Surveillance,0,Trans-Baikal Krai (Chita Oblast),A,423,82,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1039,2011,Surveillance,0,Tula Oblast,A,377,33,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1040,2011,Surveillance,0,Tver Oblast,A,327,79,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1041,2011,Surveillance,0,Ulyanovsk Oblast,A,280,75,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1042,2011,Surveillance,0,Vladimir Oblast,A,377,77,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1043,2011,Surveillance,0,Vologda Oblast,A,176,41,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1044,2011,Surveillance,0,Voronezh Oblast,A,394,108,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1045,2011,Surveillance,0,Yamalo-Nents Autonomous Okrug,A,105,44,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1046,2010,Surveillance,0,Adygea Republic,A,154,6,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1047,2010,Surveillance,0,Arkhangelsk Oblast,A,316,111,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1048,2010,Surveillance,0,Belgorod Oblast,A,342,52,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1049,2010,Surveillance,0,Bryansk Oblast,A,447,59,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1050,2010,Surveillance,0,Chukotka Autonomous Okrug,A,35,3,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1051,2010,Surveillance,0,Chuvasia Republic,A,503,78,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1052,2010,Surveillance,0,Ivanovo Oblast,A,238,54,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1053,2010,Surveillance,0,Kaliningrad Oblast,A,326,78,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1054,2010,Surveillance,0,Kamchatka Krai Oblast,A,57,11,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1055,2010,Surveillance,0,Karelia Republic,A,185,51,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1056,2010,Surveillance,0,Kemerovo Oblast,A,1614,339,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1057,2010,Surveillance,0,Khabarovsk Krai,A,684,160,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1058,2010,Surveillance,0,Khakassia Republic,A,233,63,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1059,2010,Surveillance,0,Komi Republic,A,277,54,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1060,2010,Surveillance,0,Kostroma Oblast,A,112,17,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,EUR,1061,2010,Surveillance,0,Leningrad Oblast,A,378,101,,,,,,,,,,,,,,,,,,,,,,,,,
